vorname,anzahl,geschlecht
Ali,55,m
Sophie,54,w
Marie,48,w
Elias,37,m
Charlotte,33,w
Mia,33,w
Alexander,29,m
Elif,29,w
Maria,29,w
Leon,26,m
Noah,26,m
Maximilian,24,m
Emma,23,w
Paul,22,m
Emilia,22,w
Mira,22,w
Finn,21,m
Louis,20,m
Sophia,20,w
Elisabeth,19,w
Jakob,18,m
Jonas,17,m
Hannah,17,w
Karl,16,m
Luca,16,m
Ella,16,w
Johanna,16,w
David,15,m
Emil,15,m
Anna,15,w
Hamza,15,m
Elena,15,w
Muhammed,15,m
Melina,15,w
Nur,15,w
Adam,14,m
Ahmad,14,m
Clara,14,w
Ben,14,m
Emily,14,w
Benjamin,14,m
Lara,14,w
Daniel,14,m
Laura,14,w
Joel,14,m
Sara,14,w
Julian,14,m
Leo,14,m
Mila,13,w
Sofia,13,w
Emir,13,m
Ibrahim,13,m
Max,13,m
Tim,13,m
Yusuf,13,m
Lena,12,w
Lina,12,w
Luisa,12,w
Mina,12,w
Amir,12,m
Felix,12,m
Liam,12,m
Mohamad,12,m
Niklas,12,m
Vincent,12,m
Azra,11,w
Ela,11,w
Leni,11,w
Olivia,11,w
Zoe,11,w
Leonard,11,m
Miran,11,m
Samuel,11,m
Valentin,11,m
Yiğit,11,m
Elisa,10,w
Greta,10,w
Hanna,10,w
Jasmin,10,w
Leonie,10,w
Mathilda,10,w
Sarah,10,w
Adrian,10,m
Anton,10,m
Christian,10,m
Henry,10,m
Jonathan,10,m
Michael,10,m
Mohammad,10,m
Mustafa,10,m
Omar,10,m
Amy,9,w
Antonia,9,w
Helena,9,w
Isabella,9,w
Lea,9,w
Lilly,9,w
Lisa,9,w
Liya,9,w
Luise,9,w
Emilio,9,m
Nele,9,w
Fabian,9,m
Pauline,9,w
Hassan,9,m
Hussein,9,m
Jan,9,m
Johann,9,m
Lucas,9,m
Lukas,9,m
Maxim,9,m
Mohamed,9,m
Moritz,9,m
Oskar,9,m
Simon,9,m
Yasin,9,m
Amelie,8,w
Amina,8,w
Frieda,8,w
Maja,8,w
Matilda,8,w
Maya,8,w
Abdullah,8,m
Berat,8,m
Can,8,m
Christopher,8,m
Elyas,8,m
Emanuel,8,m
Frederik,8,m
Friedrich,8,m
Gabriel,8,m
Jayden,8,m
Matteo,8,m
Milan,8,m
Raphael,8,m
Tom,8,m
Youssef,8,m
Ida,7,w
Julie,7,w
Katharina,7,w
Lia,7,w
Marlene,7,w
Maryam,7,w
Medina,7,w
Miray,7,w
Paulina,7,w
Valentina,7,w
Victoria,7,w
Zeynep,7,w
Amin,7,m
Dean,7,m
Dennis,7,m
Ensar,7,m
Florian,7,m
Kaan,7,m
Karim,7,m
Linus,7,m
Luis,7,m
Mika,7,m
Milo,7,m
Nils,7,m
Rafael,7,m
Theodor,7,m
William,7,m
Elin,6,w
Finja,6,w
Isabell,6,w
Jana,6,w
Lou,6,w
Louisa,6,w
Mariam,6,w
Masal,6,w
Meryem,6,w
Miriam,6,w
Nisa,6,w
Rose,6,w
